1167,4,171.58,163.24,167.89,145.02,0.16,100
1870,9,353.57,343.65,351.55,291.01,0.16,200
2319,14,589.15,580.12,572.21,397.74,0.16,300
2673,19,828.55,806.37,813.16,631.74,0.16,400
2944,23,1066.24,1038.32,1029.33,860.99,0.16,500
3185,28,1252.49,1238.93,1243.06,1082.16,0.16,600
3384,33,1526.69,1500.83,1483.70,1101.13,0.16,700
3558,38,1772.33,1748.68,1754.31,1340.64,0.17,800
3719,43,2016.62,1998.04,1892.15,1451.36,0.17,900
3862,48,2154.70,2138.07,2079.54,1691.51,0.17,1000
3900,50,2154.70,2145.65,2132.20,1294.14,0.16,1000
