1178,4,185.75,176.16,183.87,156.67,0.15,100
1843,9,390.10,381.37,375.52,298.92,0.16,200
2290,14,615.44,601.30,600.02,556.39,0.17,300
2623,19,881.81,867.53,855.18,678.47,0.17,400
2902,23,1100.72,1088.60,1058.69,836.88,0.18,500
3136,28,1357.55,1363.16,1305.71,1073.90,0.17,600
3340,33,1570.52,1564.45,1505.94,1012.66,0.16,700
3524,38,1822.78,1801.71,1791.41,1245.22,0.17,800
3681,43,2127.01,2101.65,2075.24,1759.74,0.17,900
3824,48,2368.61,2351.17,2272.11,1786.30,0.17,1000
3879,50,2368.61,2351.17,2320.72,2024.07,0.17,1000
